symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_days,hold_bars,allocated_capital,trade_pnl_rupees,year
ASHOKLEY,2026-01-01,2026-01-15,184.9724,186.7966,1.86,1.69,3.18,0.009862,0.006862,time_exit,False,14,10,200000.0,1372.4,2026
AJANTPHARM,2026-01-01,2026-01-06,2939.8691,2792.8756,4.26,4.04,5.41,-0.05,-0.053,stopped_out,True,5,3,160000.0,-8480.0,2026
CHALET,2026-01-01,2026-01-12,900.1499,855.1424,1.17,3.76,2.71,-0.05,-0.053,stopped_out,True,11,7,128000.0,-6784.0,2026
SUNTECK,2026-01-01,2026-01-15,430.1149,423.5381,4.78,12.0,8.26,-0.015291,-0.018291,time_exit,False,14,10,102400.0,-1873.0,2026
AVANTIFEED,2026-01-01,2026-01-08,878.9392,834.9923,3.11,2.39,4.89,-0.05,-0.053,stopped_out,True,7,5,81920.0,-4341.76,2026
NETWEB,2026-01-06,2026-01-14,3349.7741,3182.2854,4.98,3.54,1.8,-0.05,-0.053,stopped_out,True,8,6,95840.0,-5079.52,2026
BALAMINES,2026-01-08,2026-01-09,1224.1118,1162.9062,5.12,18.85,11.23,-0.05,-0.053,stopped_out,True,1,1,92187.65,-4885.95,2026
GAEL,2026-01-12,2026-01-21,140.14,133.133,2.76,2.25,6.89,-0.05,-0.053,stopped_out,True,9,7,115453.66,-6119.04,2026
IFCI,2026-01-12,2026-01-13,56.4582,59.2811,11.24,12.2,10.45,0.05,0.047,take_profit,False,1,1,92362.93,4341.06,2026
IMAGICAA,2026-01-13,2026-01-19,51.3256,53.8919,4.72,3.21,5.17,0.05,0.047,take_profit,False,6,4,93231.14,4381.86,2026
MCX,2026-01-14,2026-01-22,2418.2085,2297.2981,4.72,2.16,4.9,-0.05,-0.053,stopped_out,True,8,6,92737.01,-4915.06,2026
BSOFT,2026-01-16,2026-01-20,433.3166,411.6507,0.63,1.54,2.7,-0.05,-0.053,stopped_out,True,4,2,107655.59,-5705.75,2026
BANKINDIA,2026-01-16,2026-01-20,157.4187,165.2896,2.62,2.25,2.5,0.05,0.047,take_profit,False,4,2,134569.49,6324.77,2026
MASTEK,2026-01-19,2026-01-22,2200.2925,2090.2778,1.66,2.58,5.63,-0.05,-0.053,stopped_out,True,3,3,105647.07,-5599.29,2026
HINDZINC,2026-01-20,2026-01-27,668.8695,719.4878,1.97,3.32,1.79,0.075677,0.072677,take_profit_gap,False,7,4,133086.48,9672.33,2026
CREDITACC,2026-01-21,2026-01-22,1355.8776,1423.6714,5.56,15.21,3.53,0.05,0.047,take_profit,False,1,1,128336.1,6031.8,2026
DABUR,2026-01-21,2026-02-05,516.4581,504.0478,0.51,2.34,3.01,-0.02403,-0.02703,time_exit,False,15,10,102668.88,-2775.14,2026
SUPREMEIND,2026-01-22,2026-02-03,3489.5439,3664.0211,1.25,2.16,4.37,0.05,0.047,take_profit,False,12,7,146582.63,6889.38,2026
INDIANB,2026-01-22,2026-02-02,897.1984,842.7284,1.62,2.41,4.31,-0.060711,-0.063711,stopped_out_gap,False,11,6,117266.1,-7471.14,2026
UJJIVANSFB,2026-01-22,2026-01-23,61.991,65.0905,3.57,2.84,5.77,0.05,0.047,take_profit,False,1,1,93812.88,4409.21,2026
AXISBANK,2026-01-27,2026-02-03,1316.4579,1402.2985,0.85,3.6,2.09,0.065206,0.062206,take_profit_gap,False,7,5,123246.49,7666.67,2026
HOMEFIRST,2026-01-27,2026-01-28,1252.3258,1189.7095,4.4,10.16,11.36,-0.05,-0.053,stopped_out,True,1,1,98597.19,-5225.65,2026
MRPL,2026-01-28,2026-01-29,160.6625,168.6956,3.96,2.51,4.97,0.05,0.047,take_profit,False,1,1,97552.06,4584.95,2026
RAMCOCEM,2026-01-29,2026-02-05,1102.551,1159.42,1.85,1.93,3.96,0.051579,0.048579,take_profit_gap,False,7,5,98469.05,4783.53,2026
LATENTVIEW,2026-02-02,2026-02-03,457.4286,480.3,9.53,15.96,7.58,0.05,0.047,take_profit,False,1,1,100734.23,4734.51,2026
ADANIENSOL,2026-02-03,2026-02-06,974.8872,1023.6316,6.95,2.57,2.46,0.05,0.047,take_profit,False,3,3,158558.17,7452.23,2026
